UF,Municipio,Regiao,PIB,Ano
SP,Campina do Monte Alegre,Sudeste,111.190,2016
MG,Elói Mendes,Sudeste,554.663,2016
SP,Silveiras,Sudeste,62.441,2016
RJ,Silva Jardim,Sudeste,403.121,2016
TO,Pindorama do Tocantins,Norte,48.551,2016
SP,Santo Antônio do Jardim,Sudeste,154.265,2016
RS,Constantina,Sul,268.806,2016
BA,Uauá,Nordeste,191.887,2016
MG,Olhos-dÁgua,Sudeste,225.188,2016
BA,Guaratinga,Nordeste,219.618,2016
RJ,Itaperuna,Sudeste,2.519.720,2016
PR,Primeiro de Maio,Sul,272.217,2016
CE,Pacoti,Nordeste,124.959,2016
MS,Fátima do Sul,Centro-Oeste,403.495,2016
MG,Ibitiúra de Minas,Sudeste,51.623,2016
MG,Indianópolis,Sudeste,587.218,2016
SP,Campos do Jordão,Sudeste,1.158.210,2016
SP,Altinópolis,Sudeste,458.578,2016
MG,Chiador,Sudeste,28.189,2016
RN,Fernando Pedroza,Nordeste,26.017,2016
SC,Laurentino,Sul,252.520,2016
CE,Frecheirinha,Nordeste,219.200,2016
PR,Wenceslau Braz,Sul,484.190,2016
PB,Sapé,Nordeste,554.078,2016
RJ,Miguel Pereira,Sudeste,681.750,2016
RS,São Sepé,Sul,768.337,2016
SP,Águas de São Pedro,Sudeste,120.017,2016
SP,Iguape,Sudeste,622.636,2016
BA,Piatã,Nordeste,116.808,2016
SP,Arealva,Sudeste,174.406,2016
RS,Nova Candelária,Sul,131.118,2016
SE,Rosário do Catete,Nordeste,532.170,2016
PE,Santa Cruz do Capibaribe,Nordeste,1.300.317,2016
MG,Cordisburgo,Sudeste,100.263,2016
TO,Dianópolis,Norte,282.631,2016
PR,Terra Rica,Sul,328.120,2016
RO,Colorado do Oeste,Norte,306.518,2016
SP,Mombuca,Sudeste,88.132,2016
MG,Bicas,Sudeste,231.520,2016
SP,Pardinho,Sudeste,283.791,2016
SP,São Bento do Sapucaí,Sudeste,181.627,2016
GO,Itapuranga,Centro-Oeste,385.888,2016
RJ,Bom Jardim,Sudeste,678.485,2016
SP,Canas,Sudeste,240.866,2016
GO,Campos Verdes,Centro-Oeste,43.486,2016
MG,Galiléia,Sudeste,72.374,2016
RJ,Aperibé,Sudeste,167.714,2016
SP,Dourado,Sudeste,471.684,2016
MG,Doresópolis,Sudeste,55.011,2016
SP,Iacanga,Sudeste,447.155,2016
MG,Monte Sião,Sudeste,404.347,2016
SP,Conchas,Sudeste,318.353,2016
GO,Taquaral de Goiás,Centro-Oeste,56.488,2016
PB,Princesa Isabel,Nordeste,216.491,2016
SP,Mongaguá,Sudeste,921.508,2016
GO,Nerópolis,Centro-Oeste,676.548,2016
PA,Medicilândia,Norte,566.204,2016
BA,Mata de São João,Nordeste,1.038.138,2016
SP,Eldorado,Sudeste,230.886,2016
MG,Moeda,Sudeste,55.657,2016
BA,Entre Rios,Nordeste,461.476,2016
PR,Floresta,Sul,180.639,2016
PR,Mariópolis,Sul,236.475,2016
BA,Cristópolis,Nordeste,131.395,2016
MG,Araújos,Sudeste,266.124,2016
RJ,São Pedro da Aldeia,Sudeste,2.036.820,2016
RS,Ilópolis,Sul,118.061,2016
BA,Santana,Nordeste,214.029,2016
SC,São Martinho,Sul,76.439,2016
AC,Cruzeiro do Sul,Norte,1.223.340,2016
PR,Perobal,Sul,151.264,2016
SP,Cafelândia,Sudeste,419.216,2016
PE,Poção,Nordeste,78.902,2016
PA,São Domingos do Capim,Norte,315.599,2016
PR,Matinhos,Sul,943.946,2016
PR,Marilena,Sul,112.315,2016
PE,Pombos,Nordeste,336.850,2016
MG,São João Nepomuceno,Sudeste,377.129,2016
SP,Presidente Venceslau,Sudeste,709.553,2016
BA,Castro Alves,Nordeste,365.964,2016
GO,São Domingos,Centro-Oeste,148.310,2016
PI,Pedro II,Nordeste,277.597,2016
PR,Nova Prata do Iguaçu,Sul,303.549,2016
RO,Costa Marques,Norte,206.101,2016
PR,Renascença,Sul,251.652,2016
SP,Salesópolis,Sudeste,200.322,2016
RS,Faxinal do Soturno,Sul,172.458,2016
MG,Dom Viçoso,Sudeste,29.906,2016
RS,Colinas,Sul,66.668,2016
PE,Serra Talhada,Nordeste,1.284.216,2016
SP,São Simão,Sudeste,429.659,2016
RS,Turuçu,Sul,88.178,2016
PR,Mandaguaçu,Sul,505.550,2016
GO,Santa Rita do Novo Destino,Centro-Oeste,68.806,2016
MG,Inconfidentes,Sudeste,96.184,2016
SP,Monte Azul Paulista,Sudeste,496.776,2016
RS,Mostardas,Sul,337.022,2016
SP,Guariba,Sudeste,1.134.657,2016
MG,Resende Costa,Sudeste,156.514,2016
BA,Belmonte,Nordeste,285.477,2016
PR,Porto Amazonas,Sul,111.604,2016
MA,Tutóia,Nordeste,389.837,2016
GO,Montividiu do Norte,Centro-Oeste,61.481,2016
PR,Santa Mônica,Sul,74.172,2016
SP,Auriflama,Sudeste,290.768,2016
RS,Sarandi,Sul,783.973,2016
PB,Cruz do Espírito Santo,Nordeste,135.792,2016
BA,Itajuípe,Nordeste,270.072,2016
RN,Santana do Matos,Nordeste,113.283,2016
