UF,Municipio,Regiao,2013,2014,2015,2016,2017,2018,2019,2020
AC,Acrelândia,Norte,214.652,207.822,212.961,239.610,229.644,253.138,253.152,302.445
AC,Assis Brasil,Norte,64.602,73.332,77.234,85.322,91.743,89.875,92.705,96.920
AC,Brasiléia,Norte,294.874,340.917,388.114,388.521,388.018,439.547,454.009,480.142
AC,Bujari,Norte,120.210,129.895,147.868,159.696,158.301,158.191,159.100,183.818
AC,Capixaba,Norte,158.800,149.067,160.134,177.480,170.990,164.238,152.806,145.318
AC,Cruzeiro do Sul,Norte,969.784,1.150.664,1.060.536,1.223.340,1.287.867,1.401.490,1.439.760,1.516.381
AC,Epitaciolândia,Norte,268.087,257.492,276.370,412.261,435.952,440.177,422.617,432.928
AC,Feijó,Norte,267.203,309.503,322.418,344.518,350.880,366.052,362.490,392.931
AC,Jordão,Norte,58.271,70.473,72.755,73.737,78.628,78.138,82.098,84.908
AC,Manoel Urbano,Norte,80.018,94.643,118.697,128.845,135.401,138.288,131.637,137.420
AC,Marechal Thaumaturgo,Norte,146.339,162.375,159.654,176.112,195.344,192.055,194.430,214.547
AC,Mâncio Lima,Norte,150.136,187.729,179.969,201.077,194.421,201.048,205.214,230.863
AC,Plácido de Castro,Norte,199.657,237.006,252.968,242.578,241.231,262.261,276.129,266.954
AC,Porto Acre,Norte,172.519,203.206,211.744,220.840,229.926,234.946,226.959,243.737
AC,Porto Walter,Norte,82.060,96.499,97.729,107.298,112.711,112.166,118.375,130.247
AC,Rio Branco,Norte,6.807.581,8.174.771,8.258.089,7.880.432,8.153.153,8.911.060,9.130.749,9.579.592
AC,Rodrigues Alves,Norte,152.053,171.505,166.470,183.719,185.008,187.068,190.863,202.691
AC,Santa Rosa do Purus,Norte,45.136,53.395,57.988,62.132,71.271,71.761,79.725,84.137
AC,Sena Madureira,Norte,426.881,478.781,462.253,476.246,500.512,520.298,539.331,580.935
AC,Senador Guiomard,Norte,290.838,325.673,337.471,325.553,359.782,371.144,360.656,357.580
AC,Tarauacá,Norte,335.520,387.146,398.537,424.497,470.854,487.948,482.624,519.834
AC,Xapuri,Norte,168.708,196.802,202.844,220.428,231.302,250.235,274.589,292.045
AL,Anadia,Nordeste,116.960,125.747,126.221,142.668,141.403,164.867,200.940,232.436
AL,Arapiraca,Nordeste,2.973.621,3.436.667,3.935.792,3.892.760,4.104.162,4.466.701,4.964.721,5.233.674
AL,Atalaia,Nordeste,363.297,416.620,493.818,622.204,766.075,763.995,948.281,1.077.112
AL,Barra de Santo Antônio,Nordeste,116.982,124.802,135.259,172.241,160.796,177.229,183.872,204.559
AL,Barra de São Miguel,Nordeste,114.710,125.504,144.500,158.460,171.264,194.584,214.359,227.378
AL,Batalha,Nordeste,115.255,121.649,147.463,161.695,174.238,167.211,170.568,190.692
AL,Belo Monte,Nordeste,61.633,57.952,70.829,64.308,83.338,79.110,100.408,116.390
AL,Belém,Nordeste,33.546,31.806,35.077,36.110,38.220,84.427,113.034,179.197
AL,Boca da Mata,Nordeste,271.561,325.783,298.136,267.986,268.988,329.475,352.915,450.512
AL,Branquinha,Nordeste,48.522,63.156,153.516,375.433,395.000,497.048,505.624,690.818
AL,Cacimbinhas,Nordeste,64.171,70.416,79.688,77.752,88.262,94.176,101.777,115.876
AL,Cajueiro,Nordeste,128.290,135.658,141.147,153.730,171.715,183.724,176.176,193.910
AL,Campestre,Nordeste,50.414,52.649,55.584,56.852,63.955,58.327,62.310,61.777
AL,Campo Alegre,Nordeste,302.642,341.644,396.667,446.781,496.451,459.429,521.383,606.217
AL,Campo Grande,Nordeste,55.729,59.237,68.112,70.688,83.662,85.648,92.791,91.062
AL,Canapi,Nordeste,75.418,78.908,93.293,100.616,108.273,117.407,125.447,134.880
AL,Capela,Nordeste,146.771,147.254,157.666,183.165,179.071,183.936,189.975,213.771
AL,Carneiros,Nordeste,41.716,44.463,50.470,55.012,57.365,61.911,66.066,70.792
AL,Chã Preta,Nordeste,41.215,61.743,66.184,82.702,108.854,115.658,115.608,135.112
AL,Coité do Nóia,Nordeste,66.925,71.212,83.835,82.804,102.268,98.586,130.875,147.470
AL,Colônia Leopoldina,Nordeste,134.270,177.864,219.758,227.030,252.184,257.649,263.536,368.572
AL,Coqueiro Seco,Nordeste,47.740,47.688,49.735,61.270,67.040,69.025,74.803,77.816
AL,Coruripe,Nordeste,1.035.988,1.067.009,1.240.701,1.469.182,1.376.189,1.272.690,1.401.650,1.735.605
AL,Craíbas,Nordeste,118.969,130.036,183.369,155.918,196.579,217.099,248.592,316.716
AL,Delmiro Gouveia,Nordeste,478.098,479.379,486.192,457.368,475.706,519.436,571.343,623.323
AL,Dois Riachos,Nordeste,55.688,57.866,66.858,69.888,77.918,73.701,77.901,86.124
AL,Estrela de Alagoas,Nordeste,79.613,86.360,94.368,98.663,104.607,116.202,116.730,127.020
AL,Feira Grande,Nordeste,133.838,143.314,172.527,182.496,284.595,324.947,328.283,350.251
AL,Feliz Deserto,Nordeste,102.874,76.865,86.503,107.823,108.823,125.353,102.975,126.801
AL,Flexeiras,Nordeste,76.129,91.505,99.087,118.835,175.287,144.362,213.006,269.941
AL,Girau do Ponciano,Nordeste,219.086,229.845,263.217,288.959,322.917,343.756,380.191,482.110
AL,Ibateguara,Nordeste,95.552,107.752,119.308,122.426,140.477,134.665,142.828,146.439
AL,Igaci,Nordeste,155.223,147.980,161.950,167.031,181.926,197.218,218.611,262.941
AL,Igreja Nova,Nordeste,294.400,308.680,341.475,332.172,384.927,350.831,385.218,438.268
AL,Inhapi,Nordeste,89.152,95.001,103.259,104.840,112.130,117.784,131.983,141.572
AL,Jacaré dos Homens,Nordeste,36.973,35.622,45.169,45.865,52.055,46.268,52.977,63.558
AL,Jacuípe,Nordeste,53.849,79.742,62.443,65.877,171.513,171.437,163.303,153.525
AL,Japaratinga,Nordeste,100.051,91.824,98.715,110.822,159.426,161.307,174.950,190.123
AL,Jaramataia,Nordeste,34.765,36.070,43.193,43.050,53.735,52.962,52.941,61.957
AL,Joaquim Gomes,Nordeste,117.418,128.941,146.176,227.526,315.272,261.104,341.902,338.476
AL,Jundiá,Nordeste,33.660,37.829,39.422,44.149,45.591,46.351,47.368,44.245
AL,Junqueiro,Nordeste,203.588,203.403,277.422,368.925,353.682,316.730,348.848,425.620
AL,Lagoa da Canoa,Nordeste,107.091,110.331,130.464,126.085,157.570,203.816,208.484,239.908
AL,Limoeiro de Anadia,Nordeste,157.758,254.247,378.463,501.225,458.698,409.364,508.746,541.608
AL,Maceió,Nordeste,16.456.725,18.266.729,20.690.141,21.305.268,21.841.866,22.397.272,23.367.034,22.872.756
AL,Major Isidoro,Nordeste,123.805,138.350,156.631,161.023,175.715,176.069,193.711,208.851
AL,Mar Vermelho,Nordeste,24.521,25.423,27.929,30.884,31.844,36.989,39.387,54.831
AL,Maragogi,Nordeste,299.635,416.748,442.984,521.556,673.421,629.145,692.510,722.600
AL,Maravilha,Nordeste,57.013,58.494,67.420,66.633,66.399,67.674,69.776,79.834
AL,Marechal Deodoro,Nordeste,1.238.951,1.242.757,1.488.214,1.639.965,1.922.611,1.925.916,2.404.106,2.835.700
AL,Maribondo,Nordeste,102.047,107.778,125.155,130.817,137.631,144.135,154.730,163.136
AL,Mata Grande,Nordeste,136.090,145.188,167.279,164.647,189.505,223.449,246.086,307.996
AL,Matriz de Camaragibe,Nordeste,204.861,223.959,237.393,271.013,298.468,287.551,305.530,312.881
AL,Messias,Nordeste,120.051,142.368,147.842,175.475,179.613,156.726,176.602,175.581
AL,Minador do Negrão,Nordeste,34.819,36.334,39.031,42.820,48.424,54.515,57.938,60.547
AL,Monteirópolis,Nordeste,38.666,41.416,48.752,51.791,51.895,56.573,60.397,71.505
AL,Murici,Nordeste,186.304,206.426,246.764,259.063,290.405,315.313,403.324,423.387
AL,Novo Lino,Nordeste,80.391,98.886,109.063,129.020,145.829,128.760,157.875,182.701
AL,Olivença,Nordeste,62.323,60.285,66.884,64.828,68.838,79.089,83.982,92.094
AL,Ouro Branco,Nordeste,56.462,60.038,65.590,69.508,76.940,77.415,82.891,94.348
AL,Palestina,Nordeste,27.399,26.768,30.936,34.697,33.400,37.090,39.043,38.730
AL,Palmeira dos Índios,Nordeste,658.389,732.347,934.494,724.987,778.477,828.891,943.218,997.069
AL,Pariconha,Nordeste,49.022,53.200,62.666,61.963,72.060,73.327,75.944,119.538
AL,Paripueira,Nordeste,96.661,115.024,118.982,154.748,151.348,165.570,169.741,180.548
AL,Passo de Camaragibe,Nordeste,130.447,158.434,128.744,156.191,266.555,242.857,228.044,273.482
AL,Paulo Jacinto,Nordeste,40.449,45.624,52.886,61.859,67.639,72.956,77.017,86.050
AL,Penedo,Nordeste,568.495,644.217,744.739,862.862,897.784,748.024,793.622,826.574
AL,Piaçabuçu,Nordeste,143.049,172.121,190.622,272.755,293.761,318.802,316.532,403.826
AL,Pilar,Nordeste,597.650,449.236,437.528,422.423,433.111,482.269,539.244,557.176
AL,Pindoba,Nordeste,24.122,24.435,25.131,29.218,32.628,35.363,37.647,44.144
AL,Piranhas,Nordeste,140.447,164.366,175.714,199.329,220.225,246.029,266.009,296.792
AL,Porto Calvo,Nordeste,204.273,220.200,250.531,318.330,343.267,328.011,350.482,341.389
AL,Porto Real do Colégio,Nordeste,108.794,124.811,145.012,167.231,193.465,176.791,201.172,221.238
AL,Porto de Pedras,Nordeste,71.668,76.290,83.679,140.876,273.575,199.187,213.192,231.351
AL,Poço das Trincheiras,Nordeste,70.659,71.590,78.848,85.978,92.554,92.359,92.644,107.354
AL,Pão de Açúcar,Nordeste,133.619,143.232,159.645,168.485,186.195,213.482,214.549,231.339
AL,Quebrangulo,Nordeste,68.208,74.237,85.591,103.621,112.656,121.725,138.124,173.900
AL,Rio Largo,Nordeste,634.944,731.770,855.803,983.459,1.018.571,1.059.514,1.164.095,1.311.046
AL,Roteiro,Nordeste,84.595,100.494,89.226,107.603,146.753,114.859,137.386,157.727
AL,Santa Luzia do Norte,Nordeste,57.503,86.332,107.737,113.928,153.707,135.252,168.078,194.039
AL,Santana do Ipanema,Nordeste,365.686,412.587,474.985,517.408,513.570,509.121,562.748,575.685
AL,Santana do Mundaú,Nordeste,164.668,248.243,327.061,773.129,807.102,1.094.185,970.661,1.379.720
AL,Satuba,Nordeste,111.801,104.966,115.157,139.010,207.667,169.556,186.778,203.612
AL,Senador Rui Palmeira,Nordeste,57.279,66.906,77.105,82.153,82.293,87.661,92.433,101.818
AL,São Brás,Nordeste,39.417,47.819,53.978,75.666,115.090,83.216,90.682,108.439
AL,São José da Laje,Nordeste,190.647,272.369,315.700,255.460,302.139,302.094,363.473,413.726
AL,São José da Tapera,Nordeste,202.414,238.123,191.554,225.618,232.181,225.932,272.099,283.922
AL,São Luís do Quitunde,Nordeste,405.941,472.998,504.545,399.700,416.398,575.006,689.190,766.119
AL,São Miguel dos Campos,Nordeste,1.194.840,1.131.712,1.031.352,943.619,977.489,1.040.390,1.120.634,992.621
AL,São Miguel dos Milagres,Nordeste,74.018,84.878,97.692,105.933,140.978,148.134,164.159,176.046
AL,São Sebastião,Nordeste,247.113,256.591,280.306,341.246,381.078,438.041,561.730,670.597
AL,Taquarana,Nordeste,187.601,149.385,179.542,241.571,272.048,253.668,311.476,380.128
AL,Teotônio Vilela,Nordeste,341.836,309.776,392.197,463.205,470.147,512.120,534.512,784.584
AL,Traipu,Nordeste,142.349,148.793,157.368,194.150,205.488,205.190,206.396,262.374
AL,União dos Palmares,Nordeste,525.713,625.896,764.346,787.674,935.273,941.836,1.049.580,1.283.500
AL,Viçosa,Nordeste,173.251,195.341,232.516,261.081,295.468,339.655,415.697,481.429
AL,Água Branca,Nordeste,106.273,111.654,115.971,126.126,136.648,141.121,159.756,166.660
AM,Alvarães,Norte,90.875,107.773,102.360,144.685,159.083,170.089,196.154,194.568
AM,Amaturá,Norte,59.861,63.736,66.484,66.265,80.805,83.447,95.436,101.978
AM,Anamã,Norte,84.387,86.080,83.655,96.390,108.163,116.719,125.494,129.932
AM,Anori,Norte,153.867,168.967,154.630,179.711,192.984,218.807,200.709,215.147
AM,Apuí,Norte,157.858,193.061,206.200,192.352,193.492,209.970,252.677,272.114
AM,Atalaia do Norte,Norte,95.743,124.922,143.243,165.713,141.205,143.057,150.688,172.761
AM,Autazes,Norte,197.961,239.017,265.111,289.804,328.193,356.934,388.848,446.910
AM,Barcelos,Norte,134.364,147.980,151.620,157.854,160.672,168.626,189.996,208.512
AM,Barreirinha,Norte,196.999,210.559,200.195,224.109,239.721,259.291,286.580,313.543
AM,Benjamin Constant,Norte,236.931,270.635,245.147,271.447,280.086,310.751,347.115,349.342
AM,Beruri,Norte,107.968,120.988,125.637,124.199,141.498,151.805,169.892,182.220
AM,Boa Vista do Ramos,Norte,100.001,98.384,101.807,110.655,125.739,140.055,146.215,161.512
AM,Boca do Acre,Norte,236.629,277.842,286.360,328.570,365.383,415.766,444.283,475.900
AM,Borba,Norte,236.239,254.923,260.752,270.980,296.371,304.755,330.380,361.504
AM,Caapiranga,Norte,111.291,130.604,135.541,145.057,142.346,156.561,168.773,170.630
AM,Canutama,Norte,81.427,88.213,88.114,99.109,103.082,107.991,121.948,133.412
AM,Carauari,Norte,214.486,235.646,251.054,270.919,286.003,307.070,336.549,358.947
AM,Careiro,Norte,193.802,217.517,247.025,250.074,272.854,314.629,340.672,363.553
AM,Careiro da Várzea,Norte,234.401,241.431,269.183,295.991,313.356,337.463,318.688,374.141
AM,Coari,Norte,4.558.712,3.105.211,2.261.617,1.170.225,1.322.937,2.018.615,2.253.992,1.923.312
AM,Codajás,Norte,492.322,651.855,742.360,651.453,464.273,501.935,505.889,498.998
AM,Eirunepé,Norte,340.332,382.850,403.200,398.027,434.006,518.216,478.814,503.011
