Municipio,UF,População,Total Despesa
Abadia de Goiás,GO,7567,18563622.23
Abadia dos Dourados,MG,6967,14784757.67
Abadiânia,GO,17326,25354655.33
Abaetetuba,PA,147267,174322756.56
Abaeté,MG,23451,33324280.35
Abaiara,CE,11089,20359023.49
Abaré,BA,18989,32274179.06
Abatiá,PR,7881,11271811.03
Abaíra,BA,9132,16765021.09
Abdon Batista,SC,2656,14897450.88
Abel Figueiredo,PA,7013,16050680.95
Abelardo Luz,SC,17584,50888330.35
Abre Campo,MG,13703,22468984.2
Abreu e Lima,PE,97786,115051811.68
Abreulândia,TO,2506,7880285.66
Acaiaca,MG,4045,10366470.57
Acajutiba,BA,15615,22598837.77
Acarape,CE,16011,24460005.34
Acaraú,CE,60137,86866976.89
Acari,RN,11355,17158234.42
Acará,PA,54030,90075098.03
Acauã,PI,6890,11108544.29
Aceguá,RS,4638,17957039.89
Acopiara,CE,52661,70523304.3
Acorizal,MT,5431,11521394.97
Acrelândia,AC,13353,21402073.21
Acreúna,GO,21366,53269727.91
Adamantina,SP,34953,92470809.39
Adelândia,GO,2550,8537401.31
Adolfo,SP,3639,15825653.45
Adrianópolis,PR,6416,16382369.18
Adustina,BA,16929,23041054.08
Afogados da Ingazeira,PE,36379,58645678.21
Afonso Bezerra,RN,11191,19896234.04
Afonso Cláudio,ES,32551,67158335.67
Afonso Cunha,MA,6197,18929851.32
Afrânio,PE,18625,35029529.39
Afuá,PA,36598,68669029.64
Agrestina,PE,23842,42904736.93
Agricolândia,PI,5097,8172746.37
Agrolândia,SC,9957,19620568.85
Agronômica,SC,5172,12582316.42
Aguanil,MG,4293,12032103.48
Aguaí,SP,34188,60587922.84
Agudo,RS,17161,37282686.84
Agudos,SP,36150,103318770.53
Agudos do Sul,PR,8797,15056592.97
Aguiar,PB,5586,12981101.32
Aguiarnópolis,TO,5820,11802931.64
Aimorés,MG,25675,45341388.53
Aiuaba,CE,16784,27995552.17
Aiuruoca,MG,6274,11098088.04
Ajuricaba,RS,7420,18677128.11
Alagoa,MG,2768,10371945.83
Alagoa Grande,PB,28733,40779933.08
Alagoa Nova,PB,20294,34098359.85
Alagoinha,PB,14088,18133149.15
Alagoinha,PE,14155,27660903.49
Alagoinha do Piauí,PI,7467,11248792.73
Alagoinhas,BA,152570,234685413.26
Alambari,SP,5356,13951303.59
Albertina,MG,3018,7774010.72
Alcantil,PB,5398,11905950.21
Alcinópolis,MS,4883,27408374.23
Alcobaça,BA,23176,46037639.41
Alcântara,MA,21644,33547860.63
Alcântaras,CE,11171,20660454.74
Aldeias Altas,MA,25177,41633925.04
Alecrim,RS,7010,13970941.42
Alegre,ES,32267,62013284.31
Alegrete,RS,79054,136670853.69
Alegrete do Piauí,PI,5211,9508232.75
Alegria,RS,4244,11645017.58
Alenquer,PA,54035,77462531.55
Alexandria,RN,13878,27527070.0
Alexânia,GO,25468,52849517.47
Alfenas,MG,77618,165092334.36
Alfredo Chaves,ES,14859,39978545.31
Alfredo Marcondes,SP,4064,10281669.04
Alfredo Vasconcelos,MG,6490,11461424.16
Alfredo Wagner,SC,9737,15751780.45
Algodão de Jandaíra,PB,2446,9787222.61
Alhandra,PB,18868,49568950.13
Aliança,PE,38242,59720797.31
Aliança do Tocantins,TO,5686,11207168.91
Almadina,BA,6327,12077928.48
Almas,TO,7553,11396088.25
Almeirim,PA,33562,71193253.06
Almenara,MG,40749,51511019.16
Almino Afonso,RN,4945,11334150.82
Almirante Tamandaré,PR,110256,123899720.97
Almirante Tamandaré do Sul,RS,2106,10829627.24
Aloândia,GO,2089,8309624.42
Alpercata,MG,7437,14721735.25
Alpestre,RS,7871,20835397.16
Alpinópolis,MG,19391,36012059.66
Alta Floresta,MT,49761,76290840.6
Alta Floresta D'Oeste,RO,25728,40408575.91
Altair,SP,4010,14668414.07
Altamira,PA,105106,180324956.87
Altamira do Maranhão,MA,11564,15695724.62
Altamira do Paraná,PR,3754,11121690.99
Altaneira,CE,7196,15647451.6
Alterosa,MG,14306,24693975.92
Altinho,PE,22853,36870697.57
Altinópolis,SP,16137,57469303.72
Alto Alegre,RR,16428,24377729.58
Alto Alegre,RS,1856,9627687.84
Alto Alegre,SP,4193,13561765.06
Alto Alegre do Maranhão,MA,25748,40673846.76
Alto Alegre do Pindaré,MA,31253,46117910.44
Alto Alegre dos Parecis,RO,13827,26342035.52
Alto Araguaia,MT,16818,59337623.19
Alto Bela Vista,SC,2007,10539104.29
Alto Boa Vista,MT,5809,13486422.71
Alto Caparaó,MG,5605,11701938.1
Alto Feliz,RS,3035,11720795.52
Alto Garças,MT,10909,20248580.34
Alto Horizonte,GO,5140,67031954.33
Alto Jequitibá,MG,8535,13510036.83
Alto Longá,PI,13923,18387088.15
Alto Paraguai,MT,10476,16479734.63
Alto Paraná,PR,14334,26078076.58
Alto Paraíso,PR,3159,15410310.58
Alto Paraíso,RO,19459,29536498.36
Alto Paraíso de Goiás,GO,7262,17812213.51
Alto Parnaíba,MA,10904,20613207.92
Alto Piquiri,PR,10350,16274119.5
Alto Rio Doce,MG,12120,17379010.73
Alto Rio Novo,ES,7841,18072083.19
Alto Santo,CE,16767,22438374.95
Alto Taquari,MT,9070,36723553.04
Alto do Rodrigues,RN,13440,55766172.53
Altos,PI,39522,46114720.05
Altônia,PR,21489,35820924.01
Alumínio,SP,17784,45195704.25
Alvarenga,MG,4395,10457817.29
Alvarães,AM,15166,26731323.05
Alvinlândia,SP,3137,11661052.04
Alvinópolis,MG,15642,24644083.9
Alvorada,RS,204750,218575440.96
Alvorada,TO,8557,13363584.71
Alvorada D'Oeste,RO,17399,28058578.84
Alvorada de Minas,MG,3657,34958134.61
Alvorada do Gurguéia,PI,5216,11371873.98
Alvorada do Norte,GO,8448,19919284.16
Alvorada do Sul,PR,10869,23589508.02
Além Paraíba,MG,35559,51881626.53
Amajari,RR,10432,13154849.48
Amambai,MS,36686,84457149.69
Amaporã,PR,5815,13035559.98
Amapá,AP,8483,11587831.72
Amapá do Maranhão,MA,6669,15855322.15
Amaraji,PE,22555,38007417.34
Amaral Ferrador,RS,6693,13880714.17
Amaralina,GO,3625,10026300.38
Amarante,PI,17298,23914341.67
Amarante do Maranhão,MA,39544,58627413.75
Amargosa,BA,37081,48961593.4
Amaturá,AM,10436,14502808.13
Americana,SP,224551,754011466.34
Americano do Brasil,GO,5813,12483439.46
Ametista do Sul,RS,7560,14894416.71
Amontada,CE,41227,72058992.02
Amorinópolis,GO,3570,10979188.22
Amparo,PB,2176,8996209.57
Amparo,SP,69322,181451628.11
Amparo de São Francisco,SE,2358,10377096.94
Amparo do Serra,MG,5023,10271213.59
Ampére,PR,18281,32844485.16
Amélia Rodrigues,BA,26477,39397283.41
América Dourada,BA,16884,29384022.35
Américo Brasiliense,SP,37165,73008397.98
Américo de Campos,SP,5916,16244456.07
Anadia,AL,17989,28805465.48
Anagé,BA,20698,38054240.56
Anahy,PR,2929,10285324.92
Anajatuba,MA,26339,37396822.88
Anajás,PA,26547,45344629.55
Analândia,SP,4612,19852759.7
Anamã,AM,11636,19530894.58
Ananindeua,PA,493976,441895783.07
Ananás,TO,9952,15206154.11
Anapu,PA,23609,42888369.02
Anastácio,MS,24534,42186650.54
Anaurilândia,MS,8758,25123213.48
Anchieta,ES,26658,270050721.46
Anchieta,SC,6145,13449435.5
Andaraí,BA,14738,29685221.15
Andirá,PR,20988,42040741.0
Andorinha,BA,14936,31303950.42
Andradas,MG,39416,62875840.4
Andradina,SP,57145,113265411.65
Andrelândia,MG,12507,17844461.25
André da Rocha,RS,1278,9042082.58
Angatuba,SP,23666,56904785.48
Angelim,PE,10706,22986145.26
Angelina,SC,5166,12991410.54
Angelândia,MG,8371,14630782.0
Angical,BA,14762,23862804.5
Angical do Piauí,PI,6703,11860461.12
Angico,TO,3332,10029939.02
Angicos,RN,11905,15085267.92
Angra dos Reis,RJ,181486,788157482.19
Anguera,BA,11113,18434283.66
Angélica,MS,9829,22756716.35
Anhanguera,GO,1082,7798935.0
Anhembi,SP,6120,32769909.94
Anhumas,SP,3941,13806382.1
Anicuns,GO,21195,39213747.08
Anita Garibaldi,SC,8230,18075056.43
Anitápolis,SC,3259,11303918.19
Anori,AM,18351,32154490.01
Anta Gorda,RS,6235,14722211.77
Antas,BA,18744,23819018.66
Antonina,PR,19412,34922490.24
Antonina do Norte,CE,7172,15449342.29
Antônio Almeida,PI,3090,8316331.28
Antônio Cardoso,BA,12206,20402426.14
