Município,UF,População,Total Despesa
Abadia de Goiás,GO,7895,28427309.31
Abadia dos Dourados,MG,7015,19755385.69
Abadiânia,GO,18069,38020566.07
Abaetetuba,PA,150431,235947586.02
Abaeté,MG,23535,41209238.54
Abaiara,CE,11357,29919019.76
Abaré,BA,19574,41723198.25
Abatiá,PR,7823,17360146.21
Abaíra,BA,9226,19485840.07
Abdon Batista,SC,2630,20727412.25
Abel Figueiredo,PA,7126,58974926.54
Abelardo Luz,SC,17717,52820352.72
Abre Campo,MG,13719,33487407.58
Abreu e Lima,PE,98602,130136354.73
Abreulândia,TO,2539,9904151.24
Acaiaca,MG,4056,12495199.98
Acajutiba,BA,15717,27604175.08
Acarape,CE,16288,36460409.83
Acaraú,CE,61210,111085751.55
Acari,RN,11344,23305259.77
Acará,PA,54064,115653172.46
Acauã,PI,6933,14996271.94
Aceguá,RS,4702,23526169.84
Acopiara,CE,53135,92731046.67
Acorizal,MT,5362,12551176.69
Acrelândia,AC,13869,24581851.0
Acreúna,GO,21730,53173503.19
Adamantina,SP,35048,121733123.12
Adelândia,GO,2557,11238705.04
Adolfo,SP,3623,19865091.27
Adrianópolis,PR,6333,28870377.51
Adustina,BA,17153,30108624.89
Afogados da Ingazeira,PE,36709,74636555.47
Afonso Bezerra,RN,11202,32284958.17
Afonso Cláudio,ES,32454,69788281.56
Afonso Cunha,MA,6351,18992057.92
Afrânio,PE,19031,46527941.61
Afuá,PA,37398,75806327.97
Agrestina,PE,24256,61119829.95
Agricolândia,PI,5078,12600757.65
Agrolândia,SC,10272,25089872.14
Agronômica,SC,5306,16773696.2
Aguanil,MG,4370,14702781.25
Aguaí,SP,34863,75767987.17
Agudo,RS,17120,52393787.98
Agudos,SP,36524,148655588.15
Agudos do Sul,PR,8983,19299921.32
Aguiar,PB,5573,17411284.75
Aguiarnópolis,TO,6149,16530398.79
Aimorés,MG,25694,46333571.63
Aiquara,BA,4767,13840934.65
Aiuaba,CE,16997,31767468.84
Aiuruoca,MG,6240,13793967.15
Ajuricaba,RS,7387,21351751.69
Alagoa,MG,2760,12000739.28
Alagoa Grande,PB,28646,45863094.57
Alagoa Nova,PB,20500,41366361.95
Alagoinha,PB,14284,31969301.0
Alagoinha,PE,14341,32889659.82
Alagoinha do Piauí,PI,7501,14357239.42
Alagoinhas,BA,154495,299089557.91
Alambari,SP,5560,19929406.29
Albertina,MG,3033,11479747.44
Alcantil,PB,5451,14315549.8
Alcinópolis,MS,5038,31429835.11
Alcobaça,BA,23282,55218657.21
Alcântara,MA,21659,46725620.62
Alcântaras,CE,11321,22812041.48
Aldeias Altas,MA,25823,58367948.29
Alecrim,RS,6865,19260810.53
Alegre,ES,32205,79539118.41
Alegrete,RS,78499,185474463.68
Alegrete do Piauí,PI,4832,13371267.43
Alegria,RS,4135,15352910.93
Alenquer,PA,54662,109912548.13
Alexandria,RN,13852,40235224.53
Alexânia,GO,26135,60636121.34
Alfenas,MG,78712,198696862.84
Alfredo Chaves,ES,14973,44269564.3
Alfredo Marcondes,SP,4101,13787041.15
Alfredo Vasconcelos,MG,6639,13352219.11
Alfredo Wagner,SC,9850,23082241.69
Algodão de Jandaíra,PB,2475,12987672.2
Aliança,PE,38255,70354708.15
Aliança do Tocantins,TO,5605,14304791.35
Almadina,BA,6145,14210401.38
Almas,TO,7409,16165022.35
Almeirim,PA,33372,88490748.67
Almenara,MG,41296,66907164.21
Almino Afonso,RN,4899,13390618.55
Almirante Tamandaré,PR,112870,144907025.07
Almirante Tamandaré do Sul,RS,2091,13176706.54
Aloândia,GO,2079,9711838.45
Alpercata,MG,7478,17440062.06
Alpestre,RS,7640,33839097.69
Alpinópolis,MG,19630,35463989.41
Alta Floresta,MT,49991,119145093.21
Alta Floresta D'Oeste,RO,25578,54309616.15
Altair,SP,4060,18582016.19
Altamira do Maranhão,MA,11616,22487334.26
Altamira do Paraná,PR,3341,19013717.18
Altaneira,CE,7344,20881062.25
Alterosa,MG,14434,28940282.78
Altinho,PE,22876,39563325.49
Altinópolis,SP,16179,58264889.78
Alto Alegre,RS,1828,12852445.21
Alto Alegre,SP,4173,18475310.94
Alto Alegre do Maranhão,MA,26348,47331654.28
Alto Alegre do Pindaré,MA,31287,38933914.07
Alto Alegre dos Parecis,RO,13940,31958710.25
Alto Araguaia,MT,17509,77862122.15
Alto Bela Vista,SC,1987,14617351.38
Alto Boa Vista,MT,6146,20002895.82
Alto Caparaó,MG,5702,14533422.01
Alto Feliz,RS,3025,15199459.59
Alto Garças,MT,11229,37492817.0
Alto Horizonte,GO,5470,65030106.18
Alto Longá,PI,14006,27685528.14
Alto Paraguai,MT,10704,21825561.92
Alto Paraná,PR,14518,34464590.74
Alto Paraíso,PR,3077,20465613.94
Alto Paraíso,RO,20210,34262575.62
Alto Paraíso de Goiás,GO,7391,23071912.11
Alto Parnaíba,MA,10956,29795493.53
Alto Piquiri,PR,10285,26707939.26
Alto Rio Doce,MG,11896,19422892.39
Alto Rio Novo,ES,7934,22826662.77
Alto Santo,CE,16876,37492546.49
Alto Taquari,MT,9674,41977872.82
Alto do Rodrigues,RN,13915,49781027.15
Altos,PI,39715,64466527.99
Altônia,PR,21744,46289892.09
Alumínio,SP,18061,72994370.96
Alvarenga,MG,4292,13605568.42
Alvarães,AM,15545,26350316.78
Alvinlândia,SP,3168,13376720.74
Alvinópolis,MG,15619,27212625.84
Alvorada,RS,206561,263420344.38
Alvorada,TO,8536,23843538.44
Alvorada D'Oeste,RO,17063,31513980.27
Alvorada de Minas,MG,3666,26037039.46
Alvorada do Gurguéia,PI,5278,14889514.82
Alvorada do Norte,GO,8549,25342005.94
Alvorada do Sul,PR,11057,34193029.37
Além Paraíba,MG,35720,70081764.57
Amajari,RR,11006,10961928.81
Amambai,MS,37590,100477160.07
Amaporã,PR,5953,19151919.9
Amapá,AP,8622,13297911.65
Amaraji,PE,22643,48246322.26
Amaral Ferrador,RS,6778,16554777.88
Amaralina,GO,3691,13588636.68
Amarante,PI,17312,34373747.92
Amarante do Maranhão,MA,40378,84373647.55
Amargosa,BA,37807,55763584.06
Amaturá,AM,10847,20779627.48
Americana,SP,229322,683456349.52
Americano do Brasil,GO,5918,17940163.91
Ametista do Sul,RS,7569,19216920.36
Amontada,CE,42098,90264439.81
Amorinópolis,GO,3487,12742420.43
Amparo,SP,70280,225321253.81
Amparo de São Francisco,SE,2374,12069701.12
Amparo do Serra,MG,4971,13102170.68
Ampére,PR,18591,45923528.42
Amélia Rodrigues,BA,26441,47277971.49
América Dourada,BA,16923,38913210.71
Américo Brasiliense,SP,38202,88182532.9
Américo de Campos,SP,5942,19300619.39
Anadia,AL,17847,38328624.16
Anagé,BA,20096,52455372.15
Anahy,PR,2915,14923034.18
Anajatuba,MA,26880,57355770.61
Analândia,SP,4731,26772097.82
Anamã,AM,12320,31253518.67
Ananindeua,PA,505404,596509728.98
Ananás,TO,9848,19643696.69
Anapu,PA,25414,64623071.29
Anastácio,MS,24748,52178734.73
Anaurilândia,MS,8844,45501730.93
Anchieta,ES,27624,259384044.54
Anchieta,SC,5987,17897303.05
Andaraí,BA,13723,37332018.31
Andirá,PR,20876,62195654.72
Andorinha,BA,14791,34368541.91
Andradas,MG,40092,74321149.92
Andradina,SP,57250,142620862.4
Andrelândia,MG,12507,24204463.78
André da Rocha,RS,1293,10238206.02
Angatuba,SP,24161,73630837.49
Angelim,PE,10882,30744447.27
Angelina,SC,5053,16572702.02
Angelândia,MG,8460,19722108.64
Angical,BA,14724,30171087.59
Angical do Piauí,PI,6692,16066626.34
Angico,TO,3379,10484051.97
Angicos,RN,11907,21261877.51
Angra dos Reis,RJ,188276,940642766.47
Anguera,BA,11299,21794136.19
Angélica,MS,10149,32664686.37
Anhanguera,GO,1104,9951675.62
Anhembi,SP,6307,28699623.65
Anhumas,SP,3999,19480550.78
Anicuns,GO,21478,52284394.39
Anita Garibaldi,SC,7881,24789611.29
Anitápolis,SC,3253,14644967.35
Anori,AM,19292,27117013.27
Anta Gorda,RS,6222,18960057.97
Antas,BA,19183,28182398.97
Antonina,PR,19416,43834360.69
Antonina do Norte,CE,7227,18578347.43
Antônio Almeida,PI,3103,12166660.32
Antônio Cardoso,BA,12225,24521480.91
Antônio Carlos,MG,11560,19331424.76
Antônio Carlos,SC,8118,32669006.71
Antônio Dias,MG,9685,26378006.36
Antônio Gonçalves,BA,12187,24009363.62
Antônio João,MS,8679,30233611.97
Antônio Martins,RN,7205,15075778.35
Antônio Olinto,PR,7578,19864559.61
Antônio Prado,RS,13285,41291689.0
Antônio Prado de Minas,MG,1677,9298955.1
Anápolis,GO,366491,1054650538.58
Aparecida,PB,8263,15413777.43
Aparecida,SP,36217,105761928.03
Aparecida d'Oeste,SP,4397,17511537.51
Aparecida de Goiânia,GO,521910,931249649.27
Aparecida do Rio Doce,GO,2510,16214309.03
Aparecida do Rio Negro,TO,4618,12907311.75
Aparecida do Taboado,MS,24414,81307542.7
Apiacá,ES,7924,22260653.12
Apiacás,MT,9400,27597050.03
Apiaí,SP,25211,62180337.32
Apicum-Açu,MA,17948,43890862.51
Apiúna,SC,10322,38013291.27
Apodi,RN,36189,55420410.45
Aporá,BA,19146,33917170.86
Aporé,GO,4077,28349816.44
Apuarema,BA,7762,19032771.01
Apucarana,PR,130430,306423287.78
Apuiarés,CE,14565,33827218.24
Apuí,AM,20648,33555288.61
Aquidabã,SE,21312,35066083.93
Aquidauana,MS,47162,117718928.97
Aquiraz,CE,77717,223174668.84
Arabutã,SC,4276,18292762.54
Aracaju,SE,632744,1678082611.46
Aracati,CE,72727,164049448.04
Aracatu,BA,14089,29983594.53
Araci,BA,56370,103683703.6
Aracitaba,MG,2112,9345012.85
Aracoiaba,CE,26134,69843398.87
Aracruz,ES,95056,399366901.46
Aragarças,GO,19583,34410643.31
Aragoiânia,GO,9444,23587049.77
Aragominas,TO,5910,14239948.7
Araguacema,TO,6863,17040051.17
Araguaiana,MT,3083,14484658.44
Araguainha,MT,976,9548581.29
Araguanã,MA,15018,30554045.7
Araguanã,TO,5515,12082821.15
Araguapaz,GO,7818,19304600.29
Araguari,MG,116267,305972613.83
Araguatins,TO,34392,58589041.65
Araguaçu,TO,8777,20843222.46
Araguaína,TO,170183,347391933.34
Araioses,MA,45255,72249677.12
Aral Moreira,MS,11399,38371545.81
Aramari,BA,11314,22076373.76
Arambaré,RS,3762,15819943.64
Arame,MA,32015,53364848.27
Aramina,SP,5486,20605904.99
Arandu,SP,6351,24799038.72
Arantina,MG,2880,11718844.81
Arapeí,SP,2524,11774325.86
Arapiraca,AL,231053,617919277.36
Arapoema,TO,6799,13537891.29
Araponga,MG,8501,16754155.39
Arapongas,PR,115412,246359431.39
Araporã,MG,6657,48548800.51
Arapoti,PR,27547,67803006.98
Araputanga,MT,16047,35415204.77
Arapuá,MG,2875,12169683.55
Arapuã,PR,3426,14688973.77
Araquari,SC,32454,86759215.43
Arara,PB,13355,23425896.08
Araranguá,SC,65769,134379061.4
Araraquara,SP,226508,720021426.19
Araras,SP,128895,461880877.1
Ararendá,CE,10775,26476538.42
Arari,MA,29200,63875260.08
Araricá,RS,5301,21653326.46
Araripe,CE,21289,52575223.38
Araripina,PE,82800,144559950.05
Araruama,RJ,122865,314786346.75
Araruna,PB,20051,38744023.71
Araruna,PR,14014,35466860.33
Arataca,BA,11737,23911351.47
Aratiba,RS,6641,43852746.42
Aratuba,CE,11358,27330975.35
Aratuípe,BA,9127,16903423.45
Araucária,PR,133428,674633301.13
Arauá,SE,10574,25803799.17
Araxá,MG,102238,312864948.99
Araçagi,PB,17122,29589902.34
Araçariguama,SP,20114,92512144.19
Araças,BA,12450,39520962.35
Araçatuba,SP,192757,481060627.6
Araçaí,MG,2352,10621461.06
Araçoiaba,PE,19816,38888439.47
Araçoiaba da Serra,SP,31321,87292935.67
Araçu,GO,3776,13076447.8
Araçuaí,MG,37270,56812127.86
Araújos,MG,8768,17947841.68
Arceburgo,MG,10373,24049435.36
Arco-Íris,SP,1890,12402491.73
Arcos,MG,39249,97004465.69
Arcoverde,PE,72625,138878607.13
Areado,MG,14740,24759492.86
Areal,RJ,11970,51384274.81
Arealva,SP,8351,24541460.13
Areia,PB,23110,34506854.54
Areia Branca,RN,27356,63665406.13
Areia Branca,SE,18164,36216223.17
Areia de Baraúnas,PB,1880,11181893.25
Areial,PB,6900,16657641.6
Areias,SP,3859,15309808.28
Areiópolis,SP,11049,29870377.11
Arenápolis,MT,9699,21434306.25
Arenópolis,GO,3066,14347274.11
Argirita,MG,2890,11631442.55
Aricanduva,MG,5118,12848065.7
Arinos,MG,18221,38417914.06
Aripuanã,MT,20657,57711469.05
Ariquemes,RO,104401,219130757.09
Ariranha,SP,9277,39616099.41
Armazém,SC,8341,20072603.25
Armação dos Búzios,RJ,31067,169871545.07
Arneiroz,CE,7771,19250254.23
Aroazes,PI,5763,14081862.39
Aroeiras,PB,19204,35890497.34
Aroeiras do Itaim,PI,2460,8876202.61
Arraial,PI,4670,13090057.07
Arraial do Cabo,RJ,29097,152077345.46
Arraias,TO,10778,19925017.71
Arroio Grande,RS,18949,50763617.66
Arroio Trinta,SC,3563,15775140.73
Arroio do Meio,RS,20045,66409490.5
Arroio do Padre,RS,2883,11585512.43
Arroio do Sal,RS,8785,41884636.07
Arroio do Tigre,RS,13316,31745061.63
Arroio dos Ratos,RS,14197,33274566.98
Artur Nogueira,SP,50246,138190075.43
Aruanã,GO,8746,26477600.32
Arujá,SP,83939,246262933.57
Arvoredo,SC,2271,13334755.5
Arvorezinha,RS,10595,32708130.07
Arês,RN,14042,33000222.41
Ascurra,SC,7781,18036016.7
Aspásia,SP,1848,11240957.37
Assaré,CE,23126,38914038.38
Assaí,PR,16212,46136315.8
Assis,SP,101597,260280587.21
Assis Brasil,AC,6738,15843527.83
Assis Chateaubriand,PR,34027,85695738.24
Assunção,PB,3830,13514570.11
Assunção do Piauí,PI,7686,19415759.86
Astolfo Dutra,MG,13937,26719312.57
Astorga,PR,25976,64537529.53
Atalaia,AL,47298,93419463.3
Atalaia,PR,4004,17187843.48
Atalaia do Norte,AM,18133,39051301.23
Atalanta,SC,3282,13722868.71
Ataléia,MG,14039,23683172.12
Atibaia,SP,137187,416640982.28
Atilio Vivacqua,ES,11181,37934370.02
Augustinópolis,TO,17627,32902167.88
Augusto Corrêa,PA,43700,83941152.35
Augusto Pestana,RS,7145,22533664.41
Augusto de Lima,MG,5041,14151268.11
Aurelino Leal,BA,13089,28889778.0
Auriflama,SP,14961,37370925.38
Aurilândia,GO,3508,13930062.4
Aurora,CE,24602,48589250.61
Aurora,SC,5674,17470194.52
Aurora do Pará,PA,29492,64751094.97
Aurora do Tocantins,TO,3682,9751206.45
Autazes,AM,37033,60930029.41
Avanhandava,SP,12719,36313286.88
Avaré,SP,88385,274251257.01
Avaí,SP,5275,18942695.8
Avelino Lopes,PI,11433,30334213.46
Avelinópolis,GO,2499,13324289.0
Axixá,MA,11850,27379120.54
Açailândia,MA,109685,274862376.15
Açu,RN,57292,99177689.4
Açucena,MG,10140,17821216.24
Babaçulândia,TO,10736,23317618.28
Bacabal,MA,102656,169350430.93
Bacabeira,MA,16553,47380431.31
Bacurituba,MA,5511,15188163.45
Bady Bassitt,SP,16359,51872144.5
Baependi,MG,19186,39273050.05
Bagé,RS,121749,330592078.06
Baianópolis,BA,14195,31701172.96
Baixa Grande,BA,21197,42344873.16
Baixa Grande do Ribeiro,PI,11218,38620473.62
Baixio,CE,6198,18712830.34
Baixo Guandu,ES,31467,74563544.55
Baião,PA,43757,76866924.41
Balbinos,SP,4819,13828350.02
Baldim,MG,8071,15834700.29
Baliza,GO,4443,13015528.36
Balneário Arroio do Silva,SC,11616,29377148.31
Balneário Barra do Sul,SC,9828,32634825.34
Balneário Camboriú,SC,128155,676477061.59
Balneário Gaivota,SC,9841,29814558.31
Balneário Pinhal,RS,12305,40113939.97
Balneário Piçarras,SC,20617,83280903.72
Balneário Rincão,SC,12018,38159800.06
Balsa Nova,PR,12337,45766086.5
Bambuí,MG,23850,49735283.11
Banabuiú,CE,17906,43547346.65
Bananal,SP,10775,31691342.02
Bananeiras,PB,21235,43795851.84
Bandeira,MG,5019,15715454.02
Bandeira do Sul,MG,5674,13903123.41
Bandeirante,SC,2808,12622705.15
Bandeirantes,MS,6771,26987171.76
Bandeirantes,PR,32639,68307456.67
Bandeirantes do Tocantins,TO,3420,13626113.62
Bannach,PA,3267,18251690.54
Banzaê,BA,13711,28540010.17
Baraúna,PB,4758,13156651.59
Baraúna,RN,27238,56340557.64
Barbacena,MG,134924,326733879.7
Barbalha,CE,58855,173087030.72
Barbosa,SP,7128,19609796.34
Barbosa Ferraz,PR,12487,30515082.17
Barcarena,PA,115779,307251040.07
Barcelos,AM,27433,35158778.36
Bariri,SP,34048,88421028.25
Barra,BA,54188,108287648.98
Barra Bonita,SC,1790,10489797.06
Barra Bonita,SP,36321,102024231.83
Barra D'Alcântara,PI,3887,10777547.12
Barra Funda,RS,2497,14316605.94
Barra Longa,MG,5799,21611471.91
Barra Mansa,RJ,179915,489997631.5
Barra Velha,SC,26374,84626108.66
Barra da Estiva,BA,22394,46384269.03
Barra de Guabiraba,PE,13953,30664583.88
Barra de Santa Rosa,PB,15145,30803528.56
Barra de Santana,PB,8249,18026898.79
Barra de Santo Antônio,AL,15742,37225749.65
Barra de São Francisco,ES,44599,114938366.28
Barra de São Miguel,AL,8266,30991014.56
Barra de São Miguel,PB,5905,16578108.65
Barra do Bugres,MT,33700,74721468.41
Barra do Chapéu,SP,5585,16459832.3
Barra do Choça,BA,34853,73911635.49
Barra do Corda,MA,86151,160191624.09
Barra do Garças,MT,58398,153256216.59
Barra do Guarita,RS,3236,12830431.27
Barra do Jacaré,PR,2821,12869384.16
Barra do Mendes,BA,14526,31830576.26
Barra do Ouro,TO,4460,13543834.95
Barra do Piraí,RJ,96865,203100033.66
Barra do Quaraí,RS,4201,18187618.44
Barra do Ribeiro,RS,13263,29045032.3
Barra do Rio Azul,RS,1952,11861818.53
Barra do Rocha,BA,6424,20875602.85
Barra do Turvo,SP,7828,27794668.34
Barra dos Coqueiros,SE,28677,90349034.64
Barracão,PR,10231,29503093.66
Barracão,RS,5485,18382763.94
Barras,PI,46072,80901943.41
Barreira,CE,20687,44678151.97
Barreiras,BA,153918,335582761.85
Barreirinha,AM,30658,61414162.91
Barreiros,PE,42220,84482864.16
Barretos,SP,119243,506592064.49
Barrinha,SP,31230,66637979.58
Barro,CE,22279,37238938.55
Barro Alto,BA,15377,29425227.95
Barro Alto,GO,10031,56598719.97
Barro Duro,PI,6935,15251355.22
Barro Preto,BA,6492,19517556.36
Barrocas,BA,15770,38891116.88
