Município,2013,2014,2015,2016,2017
Alta Floresta D'Oeste (RO),341.325,377.799,421.300,478.217,485.374
Ariquemes (RO),1.799.853,1.921.532,2.037.799,2.184.346,2.287.910
Cabixi (RO),96.365,113.477,116.565,133.342,138.110
Cacoal (RO),1.433.254,1.660.650,1.794.478,1.947.283,2.082.761
Cerejeiras (RO),353.270,392.417,397.736,408.194,439.245
Colorado do Oeste (RO),242.767,273.759,285.372,306.518,328.377
Corumbiara (RO),168.681,186.868,190.906,236.624,332.804
Costa Marques (RO),149.739,168.605,187.170,206.101,212.879
Espigão D'Oeste (RO),426.546,462.389,483.962,543.318,566.361
Guajará-Mirim (RO),605.131,646.154,682.458,740.352,775.195
Jaru (RO),1.070.429,1.130.660,1.207.965,1.313.922,1.354.733
Ji-Paraná (RO),2.374.801,2.651.246,2.755.755,2.985.775,3.062.162
Machadinho D'Oeste (RO),396.658,424.790,451.940,512.904,587.758
Nova Brasilândia D'Oeste (RO),230.676,257.255,272.574,307.760,345.425
Ouro Preto do Oeste (RO),556.443,600.734,633.050,711.121,762.112
Pimenta Bueno (RO),755.542,837.925,906.443,1.000.682,1.050.682
Porto Velho (RO),11.699.707,12.793.026,13.970.352,14.751.261,16.974.627
Presidente Médici (RO),292.636,334.713,359.302,388.308,410.136
Rio Crespo (RO),63.732,74.698,78.522,90.904,105.272
Rolim de Moura (RO),926.089,1.024.962,1.082.400,1.197.691,1.304.503
Santa Luzia D'Oeste (RO),125.662,132.906,135.949,149.255,153.096
Vilhena (RO),2.011.515,2.124.668,2.185.475,2.421.840,2.523.712
São Miguel do Guaporé (RO),395.408,411.122,454.048,514.606,633.099
Nova Mamoré (RO),308.322,341.402,379.824,419.534,463.144
Alvorada D'Oeste (RO),191.138,205.518,220.491,243.599,252.252
Alto Alegre dos Parecis (RO),183.210,211.214,212.357,230.030,328.001
Alto Paraíso (RO),214.064,233.006,258.222,287.145,307.459
Buritis (RO),427.488,475.961,519.513,581.699,649.985
