UF,Municipio,Regiao,Media_PIB
MG,Campestre,Sudeste,0.32250
MG,Candeias,Sudeste,0.25000
MG,Canápolis,Sudeste,0.35500
MG,Santa Bárbara,Sudeste,0.80125
MG,Boa Esperança,Sudeste,0.77375
MG,Cachoeira Dourada,Sudeste,0.07250
MG,Formoso,Sudeste,0.17875
MG,Presidente Juscelino,Sudeste,0.04750
MG,São João do Paraíso,Sudeste,0.20125
MG,Abadia dos Dourados,Sudeste,0.15375
MG,Abaeté,Sudeste,0.43000
MG,Abre Campo,Sudeste,0.18500
MG,Acaiaca,Sudeste,0.04125
MG,Aguanil,Sudeste,0.05625
MG,Aimorés,Sudeste,0.43625
MG,Aiuruoca,Sudeste,0.08875
MG,Alagoa,Sudeste,0.03625
MG,Albertina,Sudeste,0.07625
MG,Alfredo Vasconcelos,Sudeste,0.09000
MG,Almenara,Sudeste,0.50000
MG,Alpercata,Sudeste,0.07625
MG,Alpinópolis,Sudeste,0.34625
MG,Alterosa,Sudeste,0.19875
MG,Alto Caparaó,Sudeste,0.07000
MG,Alto Jequitibá,Sudeste,0.09750
MG,Alto Rio Doce,Sudeste,0.14250
MG,Alvarenga,Sudeste,0.03875
MG,Alvinópolis,Sudeste,0.26625
MG,Alvorada de Minas,Sudeste,0.05500
MG,Amparo do Serra,Sudeste,0.04625
MG,Andrelândia,Sudeste,0.20375
MG,Angelândia,Sudeste,0.08500
MG,Antônio Carlos,Sudeste,0.14750
MG,Antônio Dias,Sudeste,0.21125
MG,Antônio Prado de Minas,Sudeste,0.02125
MG,Aracitaba,Sudeste,0.02125
MG,Arantina,Sudeste,0.05000
MG,Araponga,Sudeste,0.07625
MG,Arapuá,Sudeste,0.11500
MG,Araçaí,Sudeste,0.05000
MG,Araçuaí,Sudeste,0.38625
MG,Araújos,Sudeste,0.28625
MG,Arceburgo,Sudeste,0.26500
MG,Areado,Sudeste,0.21375
MG,Argirita,Sudeste,0.03000
MG,Aricanduva,Sudeste,0.04250
MG,Arinos,Sudeste,0.21125
MG,Astolfo Dutra,Sudeste,0.27125
MG,Ataléia,Sudeste,0.14125
MG,Augusto de Lima,Sudeste,0.06125
MG,Açucena,Sudeste,0.09250
MG,Baependi,Sudeste,0.26375
MG,Baldim,Sudeste,0.10625
MG,Bambuí,Sudeste,0.52875
MG,Bandeira,Sudeste,0.04250
MG,Bandeira do Sul,Sudeste,0.06375
MG,Barra Longa,Sudeste,0.06125
MG,Barroso,Sudeste,0.40500
MG,Bela Vista de Minas,Sudeste,0.25000
MG,Belmiro Braga,Sudeste,0.04875
MG,Belo Vale,Sudeste,0.14875
MG,Berilo,Sudeste,0.09375
MG,Berizal,Sudeste,0.04125
MG,Bertópolis,Sudeste,0.03750
MG,Bias Fortes,Sudeste,0.03125
MG,Bicas,Sudeste,0.23625
MG,Biquinhas,Sudeste,0.03750
MG,Bocaina de Minas,Sudeste,0.05375
MG,Bocaiúva,Sudeste,0.79625
MG,Bom Jardim de Minas,Sudeste,0.11000
MG,Bom Jesus da Penha,Sudeste,0.11375
MG,Bom Jesus do Amparo,Sudeste,0.08875
MG,Bom Jesus do Galho,Sudeste,0.13625
MG,Bom Repouso,Sudeste,0.12250
MG,Bom Sucesso,Sudeste,0.30250
MG,Bonfim,Sudeste,0.08750
MG,Bonfinópolis de Minas,Sudeste,0.19500
MG,Bonito de Minas,Sudeste,0.07250
MG,Borda da Mata,Sudeste,0.29375
MG,Botelhos,Sudeste,0.22375
MG,Botumirim,Sudeste,0.04875
MG,Brasilândia de Minas,Sudeste,0.23750
MG,Brasília de Minas,Sudeste,0.29750
MG,Braúnas,Sudeste,0.13625
MG,Brás Pires,Sudeste,0.03625
MG,Bueno Brandão,Sudeste,0.14250
MG,Buenópolis,Sudeste,0.11375
MG,Bugre,Sudeste,0.03375
MG,Buritis,Sudeste,0.69875
MG,Buritizeiro,Sudeste,0.40750
MG,Cabeceira Grande,Sudeste,0.23750
MG,Cabo Verde,Sudeste,0.20625
MG,Cachoeira da Prata,Sudeste,0.04250
MG,Cachoeira de Minas,Sudeste,0.30000
MG,Cachoeira de Pajeú,Sudeste,0.09625
MG,Caetanópolis,Sudeste,0.23750
MG,Caeté,Sudeste,0.64875
MG,Caiana,Sudeste,0.06125
MG,Cajuri,Sudeste,0.06375
MG,Caldas,Sudeste,0.22625
MG,Camacho,Sudeste,0.04000
MG,Camanducaia,Sudeste,0.56875
MG,Cambuquira,Sudeste,0.25125
MG,Campanha,Sudeste,0.30750
MG,Campanário,Sudeste,0.04125
MG,Campina Verde,Sudeste,0.48750
MG,Campo Azul,Sudeste,0.03125
MG,Campo Florido,Sudeste,0.43750
MG,Campo do Meio,Sudeste,0.14875
MG,Campos Altos,Sudeste,0.29875
MG,Campos Gerais,Sudeste,0.44500
MG,Cana Verde,Sudeste,0.06125
MG,Canaã,Sudeste,0.05750
