UF,Municipio,Regiao,2013,2014,2015,2016,2017,2018,2019,2020
RO,Urupá,Norte,0.15,0.17,0.18,0.2,0.2,0.22,0.22,0.23
AM,Tapauá,Norte,0.15,0.19,0.2,0.22,0.34,0.25,0.19,0.22
PA,Aurora do Pará,Norte,0.23,0.24,0.26,0.3,0.28,0.26,0.22,0.27
RO,Colorado do Oeste,Norte,0.24,0.27,0.29,0.31,0.33,0.33,0.33,0.37
TO,Araguatins,Norte,0.29,0.3,0.33,0.38,0.39,0.43,0.45,0.47
TO,Arapoema,Norte,0.08,0.09,0.1,0.11,0.1,0.29,0.18,0.36
RR,Caroebe,Norte,0.12,0.13,0.14,0.15,0.16,0.18,0.2,0.23
AM,Urucará,Norte,0.26,0.3,0.31,0.3,0.3,0.33,0.3,0.31
TO,Itaguatins,Norte,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07
TO,Porto Alegre do Tocantins,Norte,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04
TO,Miranorte,Norte,0.15,0.17,0.2,0.22,0.23,0.26,0.29,0.31
AM,São Paulo de Olivença,Norte,0.17,0.19,0.19,0.21,0.24,0.25,0.28,0.3
TO,Taguatinga,Norte,0.19,0.21,0.27,0.22,0.23,0.24,0.24,0.24
TO,Pedro Afonso,Norte,0.42,0.69,0.59,0.61,0.67,0.53,0.46,0.63
PA,Capanema,Norte,0.83,0.91,0.96,0.99,0.97,1.03,1.11,1.23
AM,São Sebastião do Uatumã,Norte,0.07,0.08,0.08,0.09,0.1,0.12,0.12,0.13
TO,Tocantínia,Norte,0.05,0.05,0.06,0.06,0.07,0.07,0.13,0.14
AP,Pracuúba,Norte,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.08
AM,Silves,Norte,0.08,0.07,0.11,0.1,0.1,0.1,0.11,0.13
TO,Santa Terezinha do Tocantins,Norte,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04
AC,Manoel Urbano,Norte,0.08,0.09,0.12,0.13,0.14,0.14,0.13,0.14
TO,Pindorama do Tocantins,Norte,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06
AM,Barreirinha,Norte,0.2,0.21,0.2,0.22,0.24,0.26,0.29,0.31
TO,Guaraí,Norte,0.41,0.46,0.57,0.56,0.6,0.65,0.7,0.74
PA,Itaituba,Norte,1.17,1.43,1.6,1.6,1.77,1.81,2.04,2.63
TO,Aguiarnópolis,Norte,0.11,0.09,0.11,0.13,0.13,0.12,0.16,0.16
AM,Rio Preto da Eva,Norte,0.33,0.37,0.44,0.45,0.38,0.38,0.44,0.37
TO,Lagoa do Tocantins,Norte,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.08
TO,São Félix do Tocantins,Norte,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
AM,Jutaí,Norte,0.18,0.18,0.2,0.2,0.22,0.22,0.23,0.25
PA,Irituia,Norte,0.16,0.18,0.2,0.22,0.22,0.21,0.22,0.25
PA,Tracuateua,Norte,0.18,0.19,0.19,0.23,0.25,0.22,0.23,0.3
PA,Bannach,Norte,0.05,0.06,0.07,0.08,0.08,0.08,0.08,0.1
TO,Palmeiras do Tocantins,Norte,0.06,0.05,0.06,0.07,0.06,0.07,0.07,0.08
PA,Acará,Norte,0.87,0.58,0.64,0.79,0.93,0.91,0.76,0.88
AM,Santo Antônio do Içá,Norte,0.13,0.15,0.15,0.16,0.17,0.18,0.19,0.21
PA,São João da Ponta,Norte,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05
RO,Ariquemes,Norte,1.8,1.92,2.04,2.18,2.29,2.46,2.58,2.82
AM,Careiro,Norte,0.19,0.22,0.25,0.25,0.27,0.31,0.34,0.36
PA,Curralinho,Norte,0.16,0.17,0.48,0.65,0.63,0.52,0.25,0.27
TO,Bernardo Sayão,Norte,0.05,0.05,0.06,0.08,0.08,0.07,0.07,0.08
RO,Porto Velho,Norte,11.7,12.79,13.97,14.75,16.97,16.66,17.91,19.45
RO,Seringueiras,Norte,0.16,0.17,0.18,0.2,0.23,0.23,0.24,0.25
AM,Tefé,Norte,0.54,0.71,0.71,0.66,0.75,0.94,1.02,0.94
PA,Ipixuna do Pará,Norte,0.47,0.49,0.44,0.49,0.54,0.52,0.58,0.61
AM,Boa Vista do Ramos,Norte,0.1,0.1,0.1,0.11,0.13,0.14,0.15,0.16
PA,Canaã dos Carajás,Norte,3.48,2.8,3.48,2.4,4.09,7.11,10.7,22.52
TO,Nazaré,Norte,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05
AM,Tabatinga,Norte,0.33,0.37,0.38,0.42,0.46,0.54,0.59,0.65
RO,Candeias do Jamari,Norte,0.28,0.32,0.4,0.4,0.49,0.57,0.55,0.56
TO,Monte do Carmo,Norte,0.08,0.12,0.12,0.13,0.16,0.18,0.16,0.23
AC,Rio Branco,Norte,6.81,8.17,8.26,7.88,8.15,8.91,9.13,9.58
PA,Nova Timboteua,Norte,0.09,0.1,0.1,0.11,0.12,0.12,0.12,0.14
RO,Ji-Paraná,Norte,2.37,2.65,2.76,2.99,3.06,3.47,3.78,4.06
AC,Acrelândia,Norte,0.21,0.21,0.21,0.24,0.23,0.25,0.25,0.3
AC,Senador Guiomard,Norte,0.29,0.33,0.34,0.33,0.36,0.37,0.36,0.36
TO,Praia Norte,Norte,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08
RR,Alto Alegre,Norte,0.18,0.19,0.22,0.25,0.28,0.28,0.31,0.41
AM,Lábrea,Norte,0.38,0.37,0.39,0.45,0.5,0.49,0.5,0.56
PA,Novo Progresso,Norte,0.36,0.42,0.47,0.56,0.61,0.58,0.7,0.83
PA,Ourilândia do Norte,Norte,0.43,0.82,0.5,0.54,0.54,0.61,0.63,0.78
