UF,Municipio,Regiao,Media_PIB
ES,Santa Leopoldina,Sudeste,0.19750
MG,Arceburgo,Sudeste,0.26500
SP,Penápolis,Sudeste,1.51500
MG,Consolação,Sudeste,0.02375
RJ,Rio Claro,Sudeste,0.35875
SP,Itapura,Sudeste,0.09125
SP,São Vicente,Sudeste,5.16750
MG,Poços de Caldas,Sudeste,6.82750
MG,Campos Altos,Sudeste,0.29875
RJ,Laje do Muriaé,Sudeste,0.13750
SP,Pinhalzinho,Sudeste,0.24500
SP,Araraquara,Sudeste,9.02875
MG,Barra Longa,Sudeste,0.06125
SP,Cerqueira César,Sudeste,0.65125
MG,Dom Joaquim,Sudeste,0.04250
RJ,Mesquita,Sudeste,2.20875
MG,Peçanha,Sudeste,0.18375
MG,Padre Paraíso,Sudeste,0.16000
RJ,Natividade,Sudeste,0.26000
ES,São Mateus,Sudeste,2.15875
MG,Delfinópolis,Sudeste,0.15750
MG,Ribeirão das Neves,Sudeste,3.75250
MG,Chiador,Sudeste,0.03000
SP,Capão Bonito,Sudeste,0.84250
MG,Poço Fundo,Sudeste,0.25750
MG,Cuparaque,Sudeste,0.05000
MG,Bela Vista de Minas,Sudeste,0.25000
MG,Volta Grande,Sudeste,0.07750
MG,Santo Antônio do Grama,Sudeste,0.06125
SP,Adolfo,Sudeste,0.09375
SP,Itanhaém,Sudeste,1.73000
SP,Monte Alegre do Sul,Sudeste,0.17875
MG,Antônio Prado de Minas,Sudeste,0.02125
MG,Coqueiral,Sudeste,0.15250
MG,Albertina,Sudeste,0.07625
MG,Itacambira,Sudeste,0.06125
SP,Tupã,Sudeste,1.71375
MG,Olímpio Noronha,Sudeste,0.03500
MG,Alpinópolis,Sudeste,0.34625
MG,São José do Goiabal,Sudeste,0.05125
MG,Porto Firme,Sudeste,0.09000
SP,Sales Oliveira,Sudeste,0.75000
SP,São Paulo,Sudeste,683.33625
MG,Aricanduva,Sudeste,0.04250
ES,Alfredo Chaves,Sudeste,0.33125
SP,Sarutaiá,Sudeste,0.06125
SP,Lençóis Paulista,Sudeste,2.69625
MG,Santana do Deserto,Sudeste,0.04000
ES,Santa Teresa,Sudeste,0.42750
MG,Congonhas do Norte,Sudeste,0.03875
SP,São José do Barreiro,Sudeste,0.04750
SP,Jaú,Sudeste,4.36000
SP,União Paulista,Sudeste,0.04500
MG,Jequeri,Sudeste,0.14125
SP,Poloni,Sudeste,0.12250
MG,Cambuquira,Sudeste,0.25125
SP,Sales,Sudeste,0.12625
ES,São Gabriel da Palha,Sudeste,0.58000
MG,Carmo do Paranaíba,Sudeste,0.67000
MG,Urucânia,Sudeste,0.17750
SP,Itaju,Sudeste,0.08625
MG,Alto Rio Doce,Sudeste,0.14250
SP,Ferraz de Vasconcelos,Sudeste,3.03000
SP,Paranapanema,Sudeste,0.60750
SP,Três Fronteiras,Sudeste,0.09875
MG,Pedro Teixeira,Sudeste,0.02125
SP,Tambaú,Sudeste,0.52500
MG,Cajuri,Sudeste,0.06375
SP,Piracaia,Sudeste,0.46875
MG,Ubá,Sudeste,2.69625
MG,Visconde do Rio Branco,Sudeste,1.08875
MG,Nazareno,Sudeste,0.26500
MG,Francisco Badaró,Sudeste,0.06250
SP,Santa Lúcia,Sudeste,0.11125
SP,Itapuí,Sudeste,0.61000
SP,Cunha,Sudeste,0.23000
MG,Aiuruoca,Sudeste,0.08875
MG,Divinésia,Sudeste,0.04375
MG,Gonçalves,Sudeste,0.06000
MG,Goiabeira,Sudeste,0.03500
MG,Três Corações,Sudeste,2.18125
MG,Andrelândia,Sudeste,0.20375
SP,Caiabu,Sudeste,0.05750
SP,São Caetano do Sul,Sudeste,14.01875
MG,Lajinha,Sudeste,0.30125
MG,Martinho Campos,Sudeste,0.29625
MG,Araçuaí,Sudeste,0.38625
MG,Cristiano Otoni,Sudeste,0.09125
SP,Parapuã,Sudeste,0.37125
SP,Santos,Sudeste,21.28250
MG,Uberaba,Sudeste,13.62625
SP,Santo Antônio de Posse,Sudeste,1.01875
SP,Valinhos,Sudeste,5.77875
SP,Ourinhos,Sudeste,2.97625
SP,Iguape,Sudeste,1.13125
MG,Rio Piracicaba,Sudeste,0.58000
MG,Moema,Sudeste,0.09750
MG,Ponto dos Volantes,Sudeste,0.09000
SP,Sertãozinho,Sudeste,5.22500
MG,Serra do Salitre,Sudeste,0.39125
