UF,Municipio,Regiao,Media_PIB
MG,Monte Azul,Sudeste,0.18625
MG,Tapira,Sudeste,0.54000
MG,Serra Azul de Minas,Sudeste,0.03125
MG,Araújos,Sudeste,0.28625
MG,Vazante,Sudeste,0.65875
MG,Riacho dos Machados,Sudeste,0.22625
MG,Açucena,Sudeste,0.09250
MG,Santa Margarida,Sudeste,0.24125
MG,Campanário,Sudeste,0.04125
MG,Santo Hipólito,Sudeste,0.03750
MG,Iapu,Sudeste,0.10125
MG,Lima Duarte,Sudeste,0.25500
MG,Mendes Pimentel,Sudeste,0.05750
MG,Glaucilândia,Sudeste,0.02875
MG,Buenópolis,Sudeste,0.11375
MG,Baldim,Sudeste,0.10625
MG,Galiléia,Sudeste,0.08000
MG,Virgem da Lapa,Sudeste,0.10625
MG,Itamogi,Sudeste,0.17125
MG,Ingaí,Sudeste,0.06250
MG,Guarda-Mor,Sudeste,0.34875
MG,Prudente de Morais,Sudeste,0.14625
MG,Monsenhor Paulo,Sudeste,0.18500
MG,Natalândia,Sudeste,0.04625
MG,Vargem Alegre,Sudeste,0.05625
MG,Santa Rita de Ibitipoca,Sudeste,0.05125
MG,Corinto,Sudeste,0.34500
MG,Morada Nova de Minas,Sudeste,0.26750
MG,José Gonçalves de Minas,Sudeste,0.03875
MG,Divinésia,Sudeste,0.04375
MG,Santa Bárbara do Tugúrio,Sudeste,0.05500
MG,Santo Antônio do Retiro,Sudeste,0.05125
MG,Coimbra,Sudeste,0.09875
MG,Paineiras,Sudeste,0.05750
MG,Rio Piracicaba,Sudeste,0.58000
MG,Virginópolis,Sudeste,0.14000
MG,Itanhomi,Sudeste,0.11375
MG,Carmo do Rio Claro,Sudeste,0.43250
MG,Dores do Turvo,Sudeste,0.04625
MG,Tombos,Sudeste,0.09750
MG,São José do Goiabal,Sudeste,0.05125
MG,Cabeceira Grande,Sudeste,0.23750
MG,Jacinto,Sudeste,0.09875
MG,Turmalina,Sudeste,0.30875
MG,Bandeira do Sul,Sudeste,0.06375
MG,Ilicínea,Sudeste,0.16875
MG,Careaçu,Sudeste,0.13250
MG,Joaíma,Sudeste,0.12250
MG,Perdigão,Sudeste,0.17875
MG,Queluzito,Sudeste,0.02750
MG,Grão Mogol,Sudeste,0.42375
MG,Ninheira,Sudeste,0.07625
MG,Goiabeira,Sudeste,0.03500
MG,Liberdade,Sudeste,0.07375
MG,Miradouro,Sudeste,0.12500
MG,Uruana de Minas,Sudeste,0.05000
MG,Augusto de Lima,Sudeste,0.06125
MG,Biquinhas,Sudeste,0.03750
MG,Camacho,Sudeste,0.04000
MG,Dom Viçoso,Sudeste,0.02875
MG,Carrancas,Sudeste,0.08125
MG,Santa Rosa da Serra,Sudeste,0.05250
MG,Seritinga,Sudeste,0.03875
MG,Congonhal,Sudeste,0.17625
MG,Leme do Prado,Sudeste,0.04625
MG,Abre Campo,Sudeste,0.18500
MG,Nova Era,Sudeste,0.34500
MG,Barroso,Sudeste,0.40500
MG,Bambuí,Sudeste,0.52875
MG,São Pedro dos Ferros,Sudeste,0.10875
MG,Fortuna de Minas,Sudeste,0.03500
MG,Piau,Sudeste,0.05750
MG,Nova Resende,Sudeste,0.26875
MG,Pequeri,Sudeste,0.04125
MG,Palma,Sudeste,0.06875
MG,Santana do Garambéu,Sudeste,0.02750
MG,Coração de Jesus,Sudeste,0.20750
MG,Taparuba,Sudeste,0.03375
MG,Rio Pomba,Sudeste,0.30375
MG,São Tiago,Sudeste,0.15750
MG,Taquaraçu de Minas,Sudeste,0.05000
MG,Itumirim,Sudeste,0.05750
MG,Abaeté,Sudeste,0.43000
MG,Gonzaga,Sudeste,0.04750
MG,Moeda,Sudeste,0.05875
MG,Arantina,Sudeste,0.05000
MG,Antônio Dias,Sudeste,0.21125
MG,Santa Rita de Minas,Sudeste,0.08375
MG,São Gonçalo do Abaeté,Sudeste,0.20625
MG,Nazareno,Sudeste,0.26500
MG,Central de Minas,Sudeste,0.07500
MG,Barra Longa,Sudeste,0.06125
MG,Monte Alegre de Minas,Sudeste,0.52875
MG,Carandaí,Sudeste,0.53750
MG,Ibitiúra de Minas,Sudeste,0.05000
MG,Lamim,Sudeste,0.03750
MG,Douradoquara,Sudeste,0.05250
MG,Cana Verde,Sudeste,0.06125
MG,Periquito,Sudeste,0.08375
MG,Papagaios,Sudeste,0.24375
