UF,Municipio,Regiao,Media_PIB
AC,Acrelândia,Norte,0.23750000000000002
AC,Assis Brasil,Norte,0.08374999999999999
AC,Brasiléia,Norte,0.39625000000000005
AC,Bujari,Norte,0.1525
AC,Capixaba,Norte,0.15999999999999998
AC,Epitaciolândia,Norte,0.36875
AC,Feijó,Norte,0.33875000000000005
AC,Jordão,Norte,0.07375
AC,Manoel Urbano,Norte,0.12125000000000001
AC,Marechal Thaumaturgo,Norte,0.17999999999999997
AC,Mâncio Lima,Norte,0.19374999999999998
AC,Plácido de Castro,Norte,0.2475
AC,Porto Acre,Norte,0.21625
AC,Porto Walter,Norte,0.1075
AC,Rodrigues Alves,Norte,0.17999999999999997
AC,Santa Rosa do Purus,Norte,0.065
AC,Sena Madureira,Norte,0.49874999999999997
AC,Senador Guiomard,Norte,0.34249999999999997
AC,Tarauacá,Norte,0.43875
AC,Xapuri,Norte,0.22875
AM,Alvarães,Norte,0.14500000000000002
AM,Amaturá,Norte,0.0775
AM,Anamã,Norte,0.105
AM,Anori,Norte,0.18499999999999997
AM,Apuí,Norte,0.20875
AM,Atalaia do Norte,Norte,0.14125000000000001
AM,Autazes,Norte,0.31625000000000003
AM,Barcelos,Norte,0.165
AM,Barreirinha,Norte,0.24125000000000002
AM,Benjamin Constant,Norte,0.29000000000000004
AM,Beruri,Norte,0.14
AM,Boa Vista do Ramos,Norte,0.12375000000000001
AM,Boca do Acre,Norte,0.35625
AM,Borba,Norte,0.28875
AM,Caapiranga,Norte,0.14625
AM,Canutama,Norte,0.1025
AM,Carauari,Norte,0.28375
AM,Careiro,Norte,0.27375000000000005
AM,Careiro da Várzea,Norte,0.29750000000000004
AM,Codajás,Norte,0.5625
AM,Eirunepé,Norte,0.43124999999999997
AM,Envira,Norte,0.14625000000000002
AM,Fonte Boa,Norte,0.165
AM,Guajará,Norte,0.11625
AM,Humaitá,Norte,0.55
AM,Ipixuna,Norte,0.14125
AM,Iranduba,Norte,0.63375
AM,Itamarati,Norte,0.08875
AM,Itapiranga,Norte,0.10125
AM,Japurá,Norte,0.06
AM,Juruá,Norte,0.09749999999999999
AM,Jutaí,Norte,0.21
AM,Lábrea,Norte,0.455
AM,Manaquiri,Norte,0.24
AM,Manicoré,Norte,0.505
AM,Maraã,Norte,0.13125
AM,Maués,Norte,0.45249999999999996
AM,Nhamundá,Norte,0.14500000000000002
AM,Nova Olinda do Norte,Norte,0.22625
AM,Novo Airão,Norte,0.1325
AM,Novo Aripuanã,Norte,0.17875
AM,Pauini,Norte,0.1475
AM,Presidente Figueiredo,Norte,0.71875
AM,Rio Preto da Eva,Norte,0.39499999999999996
AM,Santa Isabel do Rio Negro,Norte,0.135
AM,Santo Antônio do Içá,Norte,0.1675
AM,Silves,Norte,0.09999999999999999
AM,São Gabriel da Cachoeira,Norte,0.3
AM,São Paulo de Olivença,Norte,0.22875
AM,São Sebastião do Uatumã,Norte,0.09875
AM,Tabatinga,Norte,0.46749999999999997
AM,Tapauá,Norte,0.22
AM,Tefé,Norte,0.78375
AM,Tonantins,Norte,0.125
AM,Uarini,Norte,0.16499999999999998
AM,Urucará,Norte,0.30125
AM,Urucurituba,Norte,0.14375
AP,Amapá,Norte,0.15
AP,Calçoene,Norte,0.15125
AP,Cutias,Norte,0.07125000000000001
AP,Ferreira Gomes,Norte,0.38625000000000004
AP,Itaubal,Norte,0.06375
AP,Laranjal do Jari,Norte,0.77125
AP,Mazagão,Norte,0.25
AP,Oiapoque,Norte,0.375
AP,Porto Grande,Norte,0.31875000000000003
AP,Pracuúba,Norte,0.065
AP,Serra do Navio,Norte,0.065
AP,Tartarugalzinho,Norte,0.20249999999999999
AP,Vitória do Jari,Norte,0.17874999999999996
PA,Bonito,Norte,0.125
PA,Abel Figueiredo,Norte,0.0775
PA,Acará,Norte,0.7949999999999999
PA,Afuá,Norte,0.34125
PA,Alenquer,Norte,0.5887499999999999
PA,Almeirim,Norte,0.55625
PA,Anajás,Norte,0.19124999999999998
PA,Anapu,Norte,0.3425
PA,Augusto Corrêa,Norte,0.30375
PA,Aurora do Pará,Norte,0.2575
PA,Aveiro,Norte,0.115
PA,Bagre,Norte,0.17625
PA,Baião,Norte,0.3712500000000001
PA,Bannach,Norte,0.075
PA,Belterra,Norte,0.185
PA,Bom Jesus do Tocantins,Norte,0.15375
PA,Brasil Novo,Norte,0.23375
PA,Brejo Grande do Araguaia,Norte,0.07250000000000001
PA,Breu Branco,Norte,0.5662499999999999
PA,Breves,Norte,0.7137500000000001
PA,Bujaru,Norte,0.4437500000000001
PA,Cachoeira do Arari,Norte,0.17500000000000002
PA,Cachoeira do Piriá,Norte,0.17124999999999999
PA,Capitão Poço,Norte,0.5025000000000001
PA,Chaves,Norte,0.1775
PA,Colares,Norte,0.07375
PA,Conceição do Araguaia,Norte,0.52625
PA,Concórdia do Pará,Norte,0.275
PA,Cumaru do Norte,Norte,0.27125000000000005
PA,Curionópolis,Norte,0.5762499999999999
PA,Curralinho,Norte,0.39125
PA,Curuá,Norte,0.11125
PA,Curuçá,Norte,0.2675
PA,Dom Eliseu,Norte,0.6175
PA,Faro,Norte,0.0525
PA,Floresta do Araguaia,Norte,0.32375000000000004
PA,Garrafão do Norte,Norte,0.2125
PA,Goianésia do Pará,Norte,0.33875000000000005
PA,Gurupá,Norte,0.22625
PA,Igarapé-Açu,Norte,0.32
PA,Igarapé-Miri,Norte,0.44
PA,Inhangapi,Norte,0.11375
PA,Ipixuna do Pará,Norte,0.5175
PA,Irituia,Norte,0.2075
PA,Itupiranga,Norte,0.51
PA,Jacareacanga,Norte,0.33375
PA,Jacundá,Norte,0.4675
PA,Limoeiro do Ajuru,Norte,0.41000000000000003
PA,Magalhães Barata,Norte,0.07
PA,Maracanã,Norte,0.21125
PA,Marapanim,Norte,0.20875
PA,Medicilândia,Norte,0.5912499999999999
PA,Melgaço,Norte,0.16125
PA,Mocajuba,Norte,0.30625
PA,Moju,Norte,0.85375
PA,Monte Alegre,Norte,0.64375
PA,Muaná,Norte,0.255
PA,Mãe do Rio,Norte,0.28125
PA,Nova Esperança do Piriá,Norte,0.19624999999999998
PA,Nova Ipixuna,Norte,0.135
PA,Nova Timboteua,Norte,0.1125
PA,Novo Progresso,Norte,0.56625
PA,Novo Repartimento,Norte,0.78375
PA,Oeiras do Pará,Norte,0.3825
PA,Ourilândia do Norte,Norte,0.6062500000000001
PA,Ourém,Norte,0.17249999999999996
PA,Pacajá,Norte,0.53
PA,Palestina do Pará,Norte,0.0625
PA,Peixe-Boi,Norte,0.055
PA,Piçarra,Norte,0.2
PA,Placas,Norte,0.24500000000000002
PA,Ponta de Pedras,Norte,0.19999999999999998
PA,Portel,Norte,0.655
PA,Porto de Moz,Norte,0.27125
PA,Prainha,Norte,0.27375
PA,Primavera,Norte,0.1525
PA,Quatipuru,Norte,0.0875
PA,Rio Maria,Norte,0.42
PA,Rondon do Pará,Norte,0.50875
PA,Rurópolis,Norte,0.32875
PA,Salinópolis,Norte,0.41875
PA,Salvaterra,Norte,0.15375
PA,Santa Bárbara do Pará,Norte,0.155
PA,Santa Cruz do Arari,Norte,0.06375
PA,Santa Luzia do Pará,Norte,0.14875
PA,Santa Maria das Barreiras,Norte,0.36875
PA,Santa Maria do Pará,Norte,0.28375
PA,Santana do Araguaia,Norte,0.7925
PA,Santarém Novo,Norte,0.045
PA,Santo Antônio do Tauá,Norte,0.3225
PA,Sapucaia,Norte,0.09625
PA,Senador José Porfírio,Norte,0.1325
PA,Soure,Norte,0.17875
PA,São Caetano de Odivelas,Norte,0.12875
PA,São Domingos do Araguaia,Norte,0.24250000000000002
PA,São Domingos do Capim,Norte,0.29625
PA,São Francisco do Pará,Norte,0.20249999999999999
PA,São Geraldo do Araguaia,Norte,0.41000000000000003
PA,São João da Ponta,Norte,0.04125
PA,São João de Pirabas,Norte,0.15
PA,São João do Araguaia,Norte,0.115
